id,state,abbr,year,overweight_obese
1,New South Wales,NSW,2007-08,61.1
2,New South Wales,NSW,2011-12,61.1
3,New South Wales,NSW,2014-15,63.2
4,New South Wales,NSW,2017-18,65.9
5,New South Wales,NSW,2022,63.1
6,Victoria,VIC,2007-08,60.9
7,Victoria,VIC,2011-12,61.0
8,Victoria,VIC,2014-15,63.3
9,Victoria,VIC,2017-18,68.3
10,Victoria,VIC,2022,65.3
11,Queensland,QLD,2007-08,60.8
12,Queensland,QLD,2011-12,65.0
13,Queensland,QLD,2014-15,63.6
14,Queensland,QLD,2017-18,65.9
15,Queensland,QLD,2022,68.8
16,South Australia,SA,2007-08,61.6
17,South Australia,SA,2011-12,66.7
18,South Australia,SA,2014-15,65.8
19,South Australia,SA,2017-18,69.7
20,South Australia,SA,2022,68.0
21,Western Australia,WA,2007-08,62.7
22,Western Australia,WA,2011-12,65.1
23,Western Australia,WA,2014-15,60.3
24,Western Australia,WA,2017-18,66.7
25,Western Australia,WA,2022,68.0
26,Tasmania,TAS,2007-08,64.0
27,Tasmania,TAS,2011-12,64.7
28,Tasmania,TAS,2014-15,67.5
29,Tasmania,TAS,2017-18,70.9
30,Tasmania,TAS,2022,70.5
31,Northern Territory,NT,2007-08,59.8
32,Northern Territory,NT,2011-12,62.1
33,Northern Territory,NT,2014-15,64.3
34,Northern Territory,NT,2017-18,65.2
35,Northern Territory,NT,2022,63.8
36,Australian Capital Territory,ACT,2007-08,57.8
37,Australian Capital Territory,ACT,2011-12,62.5
38,Australian Capital Territory,ACT,2014-15,63.5
39,Australian Capital Territory,ACT,2017-18,64.0
40,Australian Capital Territory,ACT,2022,64.0
