bmi_bin,sedentary_bin,all_count,selected_count
18,0,8,1
20,0,14,2
22,0,22,4
24,0,36,8
26,0,48,12
28,0,42,10
30,0,31,7
32,0,18,3
34,0,9,1
36,0,4,0
18,120,10,2
20,120,20,4
22,120,35,8
24,120,58,16
26,120,78,24
28,120,86,30
30,120,67,22
32,120,39,11
34,120,20,5
36,120,8,1
18,240,7,1
20,240,18,4
22,240,42,10
24,240,72,22
26,240,106,38
28,240,132,55
30,240,118,47
32,240,78,28
34,240,42,13
36,240,16,3
18,360,3,0
20,360,12,2
22,360,35,8
24,360,80,26
26,360,138,58
28,360,167,82
30,360,152,76
32,360,104,48
34,360,55,21
36,360,23,6
18,480,1,0
20,480,8,1
22,480,24,5
24,480,64,19
26,480,120,50
28,480,158,84
30,480,166,91
32,480,128,63
34,480,76,34
36,480,35,12
18,600,0,0
20,600,4,0
22,600,14,3
24,600,42,12
26,600,86,32
28,600,132,68
30,600,155,88
32,600,142,78
34,600,92,46
36,600,48,19
18,720,0,0
20,720,2,0
22,720,8,1
24,720,28,7
26,720,60,20
28,720,104,50
30,720,138,82
32,720,156,98
34,720,118,62
36,720,70,31
