id,year,month,month_order,deaths
1,2024,Jan,1,35
2,2024,Feb,2,36
3,2024,Mar,3,29
4,2024,Apr,4,43
5,2024,May,5,65
6,2024,Jun,6,122
7,2024,Jul,7,281
8,2024,Aug,8,272
9,2024,Sep,9,82
10,2024,Oct,10,42
11,2024,Nov,11,23
12,2024,Dec,12,16
13,2025,Jan,1,37
14,2025,Feb,2,32
15,2025,Mar,3,53
16,2025,Apr,4,106
17,2025,May,5,80
18,2025,Jun,6,176
19,2025,Jul,7,331
20,2025,Aug,8,300
21,2025,Sep,9,269
22,2025,Oct,10,125
23,2025,Nov,11,102
24,2025,Dec,12,134
25,2026,Jan,1,102
26,2026,Feb,2,28
27,2026,Mar,3,17
28,2026,Apr,4,5
